,DC,month,DMC,temp,RH,FFMC,ISI,wind,rain,X
0,1.0,0.8686977586017947,0.6821916119833166,0.49620805310522964,-0.039191647189482676,0.33051179520454244,0.2291541690881884,-0.20346569092971836,0.03586086198009625,-0.08591612292922376
1,0.8686977586017947,1.0,0.4666452517906218,0.3688415053584638,-0.09528038433200842,0.2914767710905287,0.18659697418689347,-0.08636796530413297,0.01343812906381558,-0.06500303238573897
2,0.6821916119833166,0.4666452517906218,1.0,0.4695938443360306,0.0737949411057815,0.3826188000494296,0.30512783486978307,-0.10534225273531543,0.07478998218143794,-0.048384178110027716
3,0.49620805310522964,0.3688415053584638,0.4695938443360306,1.0,-0.5273903386376707,0.4315322591786201,0.3942871042080057,-0.2271162203706695,0.06949054662170356,-0.05125826189682821
4,-0.039191647189482676,-0.09528038433200842,0.0737949411057815,-0.5273903386376707,1.0,-0.3009954160617394,-0.13251717724923437,0.0694100671560726,0.09975122334314504,0.08522319351659563
5,0.33051179520454244,0.2914767710905287,0.3826188000494296,0.4315322591786201,-0.3009954160617394,1.0,0.5318049310435652,-0.02848480923044134,0.05670153306263109,-0.02103927195447126
6,0.2291541690881884,0.18659697418689347,0.30512783486978307,0.3942871042080057,-0.13251717724923437,0.5318049310435652,1.0,0.1068258879233506,0.06766818992582692,0.006209940733411664
7,-0.20346569092971836,-0.08636796530413297,-0.10534225273531543,-0.2271162203706695,0.0694100671560726,-0.02848480923044134,0.1068258879233506,1.0,0.06111888020217675,0.018797818391806973
8,0.03586086198009625,0.01343812906381558,0.07478998218143794,0.06949054662170356,0.09975122334314504,0.05670153306263109,0.06766818992582692,0.06111888020217675,1.0,0.06538716763446119
9,-0.08591612292922376,-0.06500303238573897,-0.048384178110027716,-0.05125826189682821,0.08522319351659563,-0.02103927195447126,0.006209940733411664,0.018797818391806973,0.06538716763446119,1.0
